"","VVD","VVD.low","VVD.high","PvdA","PvdA.low","PvdA.high","PVV","PVV.low","PVV.high","SP","SP.low","SP.high","CDA","CDA.low","CDA.high","D66","D66.low","D66.high","CU","CU.low","CU.high","GL","GL.low","GL.high","SGP","SGP.low","SGP.high","PvdD","PvdD.low","PvdD.high","50PLUS","50PLUS.low","50PLUS.high","VNL","VNL.low","VNL.high","Denk","Denk.low","Denk.high","FvD","FvD.low","FvD.high","PP","PP.low","PP.high"
"2014-01-21",0.143462632639922,0.133421379918623,0.153206578092132,0.106932990121262,0.100201898508639,0.113376249677307,0.176941094987955,0.166375054239794,0.187668808951284,0.138732961467751,0.132380132293332,0.145151205328629,0.110536458534418,0.104949976708385,0.116000069702299,0.132867522112036,0.125604707854028,0.139865268047266,0.0456439008322902,0.0431087511594288,0.0482481348222733,0.036189462538517,0.032345304994363,0.0402844852071272,0.0267180071401147,0.0252067559793376,0.0282372740108814,0.0260743111230874,0.0239660924898873,0.0282864336501823,0.0361390037093348,0.0301436442866072,0.0417047394519675,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-22",0.143772501654304,0.133621419774381,0.153476127825458,0.107003854997796,0.100539050614589,0.113343828270025,0.177463677507241,0.167230009778411,0.188191784551653,0.138544698733536,0.132292131461535,0.144717288520548,0.110449194180816,0.104966406752175,0.116016384932937,0.133049060330145,0.125977901611175,0.140082478190546,0.0456260352139554,0.043160377495346,0.0481802134784512,0.0360939441776194,0.032061585232436,0.0399739715134025,0.0267375823159931,0.0252188136714602,0.0282500074689377,0.0260555086718354,0.0239662250105574,0.0282702560882183,0.0364432577006945,0.0307981526308506,0.0421093482539495,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-23",0.144018953121917,0.13399294276381,0.153724206747381,0.106915515012517,0.100869287967831,0.113100649117516,0.178067124031277,0.16805653027103,0.188236856462678,0.138443630188555,0.132337774075412,0.144582149243605,0.110460544759041,0.104931493119419,0.11611163552928,0.133063882190947,0.126034823072139,0.139936157423448,0.0456414556379336,0.0431044343240849,0.0481167871770285,0.0360583797011891,0.0320376782487176,0.0399177411319017,0.026751983387707,0.0252328696554293,0.0282844290486577,0.0260397341104947,0.0239632214300047,0.0282763925547162,0.0361433304208879,0.0304683004304505,0.0417432131643627,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-24",0.144240350299637,0.134964390491141,0.153843940473689,0.106784092259013,0.100540580260766,0.112702597394691,0.178842665049995,0.169118555734759,0.188531971290552,0.138384225379982,0.132310394806072,0.144600206309279,0.110494770050195,0.105031102162552,0.115772168049888,0.133089761024229,0.126530853650173,0.139735196574861,0.0456487739458729,0.043158566107039,0.0481074728220555,0.0360625518576956,0.0320156719553754,0.0399374572745866,0.0267662085879115,0.0252864960142365,0.0282628425454678,0.0260107592247897,0.0239641907902668,0.0282005222590197,0.0357503358397909,0.0304770545904402,0.0410627133634846,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-25",0.1445299590711,0.13624596414161,0.153486016909068,0.106644772173834,0.100829576776627,0.112128142149323,0.179473008452323,0.170155147263291,0.18886532373131,0.138278764019738,0.132469190044381,0.144136313704038,0.110489457408265,0.105145143166023,0.115934625325475,0.133196191746987,0.126598776567547,0.139745017362736,0.0456555902812038,0.0431851905893486,0.0480600115301488,0.0360462518701373,0.0321827636785124,0.0399247761650586,0.0267812875010827,0.0253129168465563,0.0282842842268094,0.0259837823491798,0.0239080599897853,0.0281198654904395,0.0354000158709297,0.030486709200156,0.0404384537512401,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-26",0.146062974987371,0.137555944989032,0.154957900496388,0.106817852263556,0.100970100017068,0.112506281997405,0.180324938274272,0.171069856204409,0.190028503371943,0.137938547755265,0.131989435530376,0.143666940165435,0.11044554654268,0.10499915484692,0.115602282841615,0.133397945045325,0.127170227808935,0.139986935710171,0.0456220397212197,0.0431372976195298,0.0480291516885188,0.0359210869376101,0.0319284005871332,0.0398112586899533,0.0267889377825195,0.0252998812144054,0.0283279251695706,0.0259606944364175,0.023928018292379,0.0280893575253368,0.0354158107118799,0.0301953015936359,0.0406091260065318,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-27",0.145614842699915,0.136255825339881,0.154972635596453,0.106676596790203,0.100624668239247,0.11276970945919,0.179879390984353,0.1694767833764,0.19042644671599,0.138129638453049,0.132120205938123,0.144169021937537,0.110669178223726,0.105281417274605,0.115793662980878,0.133551795934458,0.126873193451791,0.140120669334391,0.0456525637542569,0.0431395813951284,0.0481568423134542,0.0360499738268384,0.0319226175103508,0.0399940735828602,0.0267949684060025,0.0253566911126146,0.0283152199370823,0.0259376371413882,0.0238690163235616,0.0281130369437347,0.0348463552501649,0.0292834316281853,0.0404067959443627,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-28",0.145214755832221,0.135301532627521,0.155372009249549,0.106502247927517,0.100309694944235,0.112860122188244,0.179372385145533,0.168844255027232,0.189973445663267,0.138271454041831,0.132062589845268,0.144300096842278,0.11088857940412,0.105429603015707,0.116129375888868,0.133678413306715,0.127086804498366,0.140573504943248,0.0456887016969308,0.0432860354161226,0.0481528277069752,0.0361487909105948,0.0318846400869646,0.0401663676980692,0.0268103768916002,0.0253320638310959,0.0283516779798172,0.0259141035260541,0.0238660391896759,0.0280435862633539,0.0343070428136175,0.0285201390005764,0.0401771485226318,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-29",0.144780105919025,0.134550151769635,0.155080187731725,0.10636999902296,0.10013641512165,0.112962600645027,0.178930992494063,0.168129664575558,0.189257925377787,0.138377949413073,0.132112283398887,0.14413596878651,0.111106663429988,0.105567056463547,0.11637852382917,0.133819230143512,0.127138227074075,0.140761813597565,0.0457181336993901,0.0432211554001865,0.0482533511707159,0.0362850117576086,0.0321403764668637,0.0403826752074983,0.02682656794426,0.0253187349099504,0.0283964054233916,0.0258970297445787,0.0238315267273608,0.027988114716109,0.0337640925452601,0.0279444816230769,0.0397169682044306,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-30",0.144412855760599,0.134790551224443,0.154639614163568,0.106228263356088,0.0999111562112522,0.112855648718762,0.178465230823218,0.167622666487721,0.188952024266741,0.138539510171829,0.132429509766569,0.144545809071714,0.111328850502261,0.105872063245997,0.116598306819626,0.133967691287903,0.126999145782022,0.140745147017035,0.0457493771267661,0.0433144439116013,0.0482625209216198,0.0364084000358165,0.0321414882852817,0.0404597691840798,0.0268518779261896,0.0253681784755644,0.0284502605872325,0.0258810891119553,0.0238315646499799,0.0279660877364607,0.0332223463320585,0.0274558053399117,0.0389856344859737,0,0,0,0,0,0,0,0,0,0,0,0
