,party,percentage,seats,date,sample,fieldstart,fieldend,company,publicationdate,reported
214,GPV,0.02,NA,27-8-1997,1000,27-8-1997,27-8-1997,Ipsos,27-8-1997,percentage
215,RPF,0.017,NA,27-8-1997,1000,27-8-1997,27-8-1997,Ipsos,27-8-1997,percentage
216,SGP,0.019,NA,27-8-1997,1000,27-8-1997,27-8-1997,Ipsos,27-8-1997,percentage
217,CDA,0.203,NA,3-9-1997,1000,3-9-1997,3-9-1997,Ipsos,3-9-1997,percentage
218,PvdA,0.252,NA,3-9-1997,1000,3-9-1997,3-9-1997,Ipsos,3-9-1997,percentage
219,VVD,0.255,NA,3-9-1997,1000,3-9-1997,3-9-1997,Ipsos,3-9-1997,percentage
220,SP,0.028,NA,3-9-1997,1000,3-9-1997,3-9-1997,Ipsos,3-9-1997,percentage
221,GL,0.049,NA,3-9-1997,1000,3-9-1997,3-9-1997,Ipsos,3-9-1997,percentage
222,D66,0.115,NA,3-9-1997,1000,3-9-1997,3-9-1997,Ipsos,3-9-1997,percentage
223,GPV,0.017,NA,3-9-1997,1000,3-9-1997,3-9-1997,Ipsos,3-9-1997,percentage
224,RPF,0.018,NA,3-9-1997,1000,3-9-1997,3-9-1997,Ipsos,3-9-1997,percentage
225,SGP,0.019,NA,3-9-1997,1000,3-9-1997,3-9-1997,Ipsos,3-9-1997,percentage
226,CDA,0.201,NA,10-9-1997,1000,10-9-1997,10-9-1997,Ipsos,10-9-1997,percentage
227,PvdA,0.243,NA,10-9-1997,1000,10-9-1997,10-9-1997,Ipsos,10-9-1997,percentage
228,VVD,0.268,NA,10-9-1997,1000,10-9-1997,10-9-1997,Ipsos,10-9-1997,percentage
229,SP,0.023,NA,10-9-1997,1000,10-9-1997,10-9-1997,Ipsos,10-9-1997,percentage
230,GL,0.05,NA,10-9-1997,1000,10-9-1997,10-9-1997,Ipsos,10-9-1997,percentage
231,D66,0.122,NA,10-9-1997,1000,10-9-1997,10-9-1997,Ipsos,10-9-1997,percentage
232,GPV,0.015,NA,10-9-1997,1000,10-9-1997,10-9-1997,Ipsos,10-9-1997,percentage
233,RPF,0.02,NA,10-9-1997,1000,10-9-1997,10-9-1997,Ipsos,10-9-1997,percentage
234,SGP,0.019,NA,10-9-1997,1000,10-9-1997,10-9-1997,Ipsos,10-9-1997,percentage
235,CDA,0.198,NA,17-9-1997,1000,17-9-1997,17-9-1997,Ipsos,17-9-1997,percentage
236,PvdA,0.26,NA,17-9-1997,1000,17-9-1997,17-9-1997,Ipsos,17-9-1997,percentage
237,VVD,0.264,NA,17-9-1997,1000,17-9-1997,17-9-1997,Ipsos,17-9-1997,percentage
238,SP,0.027,NA,17-9-1997,1000,17-9-1997,17-9-1997,Ipsos,17-9-1997,percentage
239,GL,0.046,NA,17-9-1997,1000,17-9-1997,17-9-1997,Ipsos,17-9-1997,percentage
240,D66,0.118,NA,17-9-1997,1000,17-9-1997,17-9-1997,Ipsos,17-9-1997,percentage
241,GPV,0.013,NA,17-9-1997,1000,17-9-1997,17-9-1997,Ipsos,17-9-1997,percentage
242,RPF,0.018,NA,17-9-1997,1000,17-9-1997,17-9-1997,Ipsos,17-9-1997,percentage
243,SGP,0.02,NA,17-9-1997,1000,17-9-1997,17-9-1997,Ipsos,17-9-1997,percentage
244,CDA,0.191,NA,24-9-1997,1000,24-9-1997,24-9-1997,Ipsos,24-9-1997,percentage
245,PvdA,0.274,NA,24-9-1997,1000,24-9-1997,24-9-1997,Ipsos,24-9-1997,percentage
246,VVD,0.261,NA,24-9-1997,1000,24-9-1997,24-9-1997,Ipsos,24-9-1997,percentage
247,SP,0.031,NA,24-9-1997,1000,24-9-1997,24-9-1997,Ipsos,24-9-1997,percentage
248,GL,0.047,NA,24-9-1997,1000,24-9-1997,24-9-1997,Ipsos,24-9-1997,percentage
249,D66,0.119,NA,24-9-1997,1000,24-9-1997,24-9-1997,Ipsos,24-9-1997,percentage
250,GPV,0.014,NA,24-9-1997,1000,24-9-1997,24-9-1997,Ipsos,24-9-1997,percentage
251,RPF,0.017,NA,24-9-1997,1000,24-9-1997,24-9-1997,Ipsos,24-9-1997,percentage
252,SGP,0.02,NA,24-9-1997,1000,24-9-1997,24-9-1997,Ipsos,24-9-1997,percentage
253,CDA,0.197,NA,1-10-1997,1000,1-10-1997,1-10-1997,Ipsos,1-10-1997,percentage
254,PvdA,0.271,NA,1-10-1997,1000,1-10-1997,1-10-1997,Ipsos,1-10-1997,percentage
255,VVD,0.254,NA,1-10-1997,1000,1-10-1997,1-10-1997,Ipsos,1-10-1997,percentage
256,SP,0.034,NA,1-10-1997,1000,1-10-1997,1-10-1997,Ipsos,1-10-1997,percentage
